Month,Return (%),Start Equity,End Equity,Trade Count,Win Rate (%),Profit Factor,Avg Duration (hrs)
2022-03,20.55923391182648,34171.54858061223,41196.95718459372,8,87.5,2.171134706518543,31.25
2022-04,-2.831178482795682,41225.163899504485,40058.00592968446,8,50.0,0.5424583178668764,37.0
2022-05,10.362902820162546,40058.00592968446,44209.178155872614,6,83.33333333333334,0.3434642527115354,29.0
2022-06,-4.838727199542269,44209.178155872614,42070.01662775031,4,75.0,0.580942648384333,40.0
2022-07,12.44759367067212,42814.42994841208,48143.79622080497,7,100.0,inf,29.142857142857142
2022-08,-0.21573584320290218,48143.79622080497,48039.93279607813,7,57.14285714285714,1.1985534730616179,47.142857142857146
2022-09,4.012537154097284,48004.89551277405,49931.10978100968,7,71.42857142857143,23.800185625056702,39.714285714285715
2022-10,6.34621302300058,49982.95752284901,53154.9824824449,12,75.0,5.018128218281239,21.333333333333332
2022-11,4.473793450302654,53154.9824824449,55533.02660725405,8,75.0,13.88316149423542,32.875
2022-12,4.91832804722343,55533.02660725405,58264.32303035067,12,83.33333333333334,207.58183504870365,33.083333333333336
2023-01,11.840535193482161,58309.0947204952,65213.20360187629,14,78.57142857142857,1.3049509544905875,34.285714285714285
2023-02,3.3058978832908537,65102.09502770118,67254.30380919995,7,57.14285714285714,3.2044078607686783,40.42857142857143
2023-03,11.922921554884391,67136.39879646574,75141.01895974271,11,81.81818181818183,22.045931853502072,25.636363636363637
2023-04,-4.13224704540458,75069.50852728658,71967.45097916805,8,75.0,0.7046628609731244,55.625
2023-05,-8.26734627063611,71967.45097916805,66017.65260456993,8,62.5,0.4248001021100469,47.375
2023-06,8.318642422335621,66017.65260456993,71509.42506036384,12,83.33333333333334,21.70194919285058,22.583333333333332
2023-07,2.260742080710676,71509.42506036384,73126.06872437775,13,84.61538461538461,3.1103619213565916,23.615384615384617
2023-08,-14.428936128935144,72997.20406974516,62464.48411861318,10,40.0,0.1704162731584778,54.7
2023-09,0.6823951139074191,62464.48411861318,62890.73870616607,11,72.72727272727273,1.6416142496867923,45.54545454545455
2023-10,7.141198128364512,62890.73870616607,67381.89096156541,8,62.5,0.813945958101341,44.5
2023-11,5.62313655665827,67124.94716612124,70899.47460885695,18,66.66666666666666,11.038074755585942,19.88888888888889
2023-12,1.5194912803984106,70821.32798389404,71897.45188727166,9,77.77777777777779,1.9424735342264352,33.888888888888886
2024-01,26.59281894417791,71897.45188727166,91017.01109313124,5,40.0,0.28773436238378247,70.6
2024-02,12.925839719259358,91017.01109313124,102781.7240642899,10,70.0,11.021511327692743,32.1
2024-03,11.767798007240483,102781.7240642899,114876.8697405348,11,81.81818181818183,14.06405731706111,22.545454545454547
2024-04,18.07478108085183,115090.09226943435,135892.374492885,9,77.77777777777779,11.04450407137077,42.333333333333336
2024-05,9.614871131991709,135892.374492885,148958.25117857946,14,71.42857142857143,5.650341743601236,25.285714285714285
2024-06,-1.948224728624437,148958.25117857946,146056.20969379187,7,57.14285714285714,1.5896014662108067,46.285714285714285
2024-07,7.121065849275743,145667.83483414954,156040.93727390355,10,70.0,9.178135524082867,44.8
2024-08,3.7178107388054826,156084.1558908684,161887.069400153,10,80.0,1.4572110620370287,14.2
2024-09,-5.5083829486892055,161766.314264153,152855.60619250342,8,75.0,0.8147587892225072,33.125
2024-10,2.6620185304204735,153348.97228942497,157431.1503479788,9,66.66666666666666,1.0651177457804484,44.22222222222222
2024-11,14.489880971226032,157431.1503479788,180242.73664503283,13,76.92307692307693,5.9549974819205,17.692307692307693
2024-12,8.102150521767083,180116.74544842652,194710.0752795661,11,90.9090909090909,39.724860864444395,31.0
